kind,name,estimated_births,rate,source_table
maternal_age,Menos de 15 anos,12069.65,6.09508,1.3
maternal_age,15,22220.29,3.93466,1.3
maternal_age,16,35974.59,2.54509,1.3
maternal_age,17,51417.22,2.06589,1.3
maternal_age,18,67551.63,1.53754,1.3
maternal_age,19,85317.96,1.27401,1.3
maternal_age,20,97854.61,1.21875,1.3
maternal_age,21,106737.32,1.10207,1.3
maternal_age,22,112866.72,1.11611,1.3
maternal_age,23,118514.33,0.99594,1.3
maternal_age,24,125372.7,0.97366,1.3
maternal_age,25,124073.19,0.87464,1.3
maternal_age,26,125705.47,0.83248,1.3
maternal_age,27,124937.12,0.83251,1.3
maternal_age,28,123231.85,0.7578,1.3
maternal_age,29,121434.74,0.72116,1.3
maternal_age,30,115750.39,0.68284,1.3
maternal_age,31,108064.45,0.69445,1.3
maternal_age,32,101924.47,0.67939,1.3
maternal_age,33,93956.16,0.63025,1.3
maternal_age,34,88913.2,0.60981,1.3
maternal_age,35,86074.04,0.57978,1.3
maternal_age,36,76991.13,0.59114,1.3
maternal_age,37,66210.92,0.59797,1.3
maternal_age,38,56217.54,0.71426,1.3
maternal_age,39,45020.49,0.70076,1.3
maternal_age,40,35676.79,0.62166,1.3
maternal_age,41,26464.55,0.6898,1.3
maternal_age,42,18250.21,0.72991,1.3
maternal_age,43,10938.67,0.72836,1.3
maternal_age,44,6181.57,1.04456,1.3
maternal_age,45,3239.13,0.89919,1.3
maternal_age,46,1676.36,1.03531,1.3
maternal_age,47,761.1,0.53853,1.3
maternal_age,48,389.29,0.58898,1.3
maternal_age,49,199.01,0.50549,1.3
maternal_age,50 anos ou mais,455.13,1.3466,1.3
birth_place,Hospital,2360390.9,0.8265,1.4
birth_place,Outro estabelecimento de saúde sem internação,14702.57,2.228,1.4
birth_place,Domicílio,14655.73,9.2573,1.4
birth_place,Outro,8794.61,19.3483,1.4
birth_place,Ignorado,90.18,6.8489,1.4
