year,uf,code,name,estimated_births,rate,estimated_missing,source_table
2024,RO,1100015,Alta Floresta D'Oeste,289.03,0.0094,0.027169,1.2
2024,RO,1100023,Ariquemes,1343.06,0.451,6.057201,1.2
2024,RO,1100031,Cabixi,63,0.0053,0.003339,1.2
2024,RO,1100049,Cacoal,1285.05,0.004,0.051402,1.2
2024,RO,1100056,Cerejeiras,235,0.4275,1.004625,1.2
2024,RO,1100064,Colorado do Oeste,183,0.0019,0.003477,1.2
2024,RO,1100072,Corumbiara,114.01,0.0058,0.006613,1.2
2024,RO,1100080,Costa Marques,202.02,0.0093,0.018788,1.2
2024,RO,1100098,Espigão D'Oeste,378.02,0.0054,0.020413,1.2
2024,RO,1100106,Guajará-Mirim,688.07,3.7892,26.072348,1.2
2024,RO,1100114,Jaru,742.03,0.1385,1.027712,1.2
2024,RO,1100122,Ji-Paraná,1821.06,0.1133,2.063261,1.2
2024,RO,1100130,Machadinho D'Oeste,444.03,0.2312,1.026597,1.2
2024,RO,1100148,Nova Brasilândia D'Oeste,227.02,0.0084,0.01907,1.2
2024,RO,1100155,Ouro Preto do Oeste,510.02,0.0041,0.020911,1.2
2024,RO,1100189,Pimenta Bueno,466.03,0.0059,0.027496,1.2
2024,RO,1100205,Porto Velho,6138.28,0.8517,52.279731,1.2
2024,RO,1100254,Presidente Médici,229.01,0.0053,0.012138,1.2
2024,RO,1100262,Rio Crespo,47,2.1334,1.002698,1.2
2024,RO,1100288,Rolim de Moura,746.02,0.1371,1.022793,1.2
2024,RO,1100296,Santa Luzia D'Oeste,80,0.0055,0.0044,1.2
2024,RO,1100304,Vilhena,1422.07,0.1456,2.070534,1.2
2024,RO,1100320,São Miguel do Guaporé,302.02,0.3394,1.025056,1.2
2024,RO,1100338,Nova Mamoré,461.08,1.1007,5.075108,1.2
2024,RO,1100346,Alvorada D'Oeste,169.01,0.0083,0.014028,1.2
2024,RO,1100379,Alto Alegre dos Parecis,166.01,0.0058,0.009629,1.2
2024,RO,1100403,Alto Paraíso,174.01,0.0071,0.012355,1.2
2024,RO,1100452,Buritis,440.1,0.4772,2.100157,1.2
2024,RO,1100502,Novo Horizonte do Oeste,78,0.0057,0.004446,1.2
2024,RO,1100601,Cacaulândia,50,0.0056,0.0028,1.2
2024,RO,1100700,Campo Novo de Rondônia,107.02,0.0176,0.018836,1.2
2024,RO,1100809,Candeias do Jamari,299.02,0.3404,1.017864,1.2
2024,RO,1100908,Castanheiras,39,0.0052,0.002028,1.2
2024,RO,1100924,Chupinguaia,163.01,0.0061,0.009944,1.2
2024,RO,1100940,Cujubim,202.02,0.0086,0.017374,1.2
2024,RO,1101005,Governador Jorge Teixeira,84.01,0.0089,0.007477,1.2
2024,RO,1101104,Itapuã do Oeste,103.01,0.0059,0.006078,1.2
2024,RO,1101203,Ministro Andreazza,86,0.0053,0.004558,1.2
2024,RO,1101302,Mirante da Serra,116.01,0.0082,0.009513,1.2
2024,RO,1101401,Monte Negro,156.01,0.6488,1.012193,1.2
2024,RO,1101435,Nova União,69.01,1.4577,1.005959,1.2
2024,RO,1101450,Parecis,54,0.0082,0.004428,1.2
2024,RO,1101468,Pimenteiras do Oeste,37,5.4109,2.002033,1.2
