year,code,name,level,region,estimated_births,rate,health_underreporting,estimated_missing,source_table
2022,BR,Brasil,country,,2574556.03,1.3111,0.49209,33755.004109,1.1
2022,Norte,Norte,region,,291167.54,5.1354,0.70803,14952.617849,1.1
2022,RO,Rondônia,state,Norte,24933.41,0.5591,0.26637,139.402695,1.1
2022,AC,Acre,state,Norte,14641.37,4.6811,1.02705,685.377171,1.1
2022,AM,Amazonas,state,Norte,72937.53,6.483,0.59439,4728.54007,1.1
2022,RR,Roraima,state,Norte,13420.24,14.2936,2.45332,1918.235425,1.1
2022,PA,Pará,state,Norte,128460.13,4.4178,0.53645,5675.111623,1.1
2022,AP,Amapá,state,Norte,14085.58,9.5174,2.10555,1340.580991,1.1
2022,TO,Tocantins,state,Norte,22689.27,2.0506,0.42432,465.266171,1.1
2022,Nordeste,Nordeste,region,,714317.23,1.6627,0.7938,11876.952583,1.1
2022,MA,Maranhão,state,Nordeste,99074.08,3.3027,1.12247,3272.11964,1.1
2022,PI,Piauí,state,Nordeste,42594.98,2.0894,1.00241,889.979512,1.1
2022,CE,Ceará,state,Nordeste,113557.21,1.7693,1.15379,2009.167717,1.1
2022,RN,Rio Grande do Norte,state,Nordeste,40334.82,1.0284,0.6516,414.803289,1.1
2022,PB,Paraíba,state,Nordeste,50926.18,2.2939,0.63854,1168.195643,1.1
2022,PE,Pernambuco,state,Nordeste,118542.23,1.8392,0.76785,2180.228694,1.1
2022,AL,Alagoas,state,Nordeste,45816.44,0.8435,0.57717,386.461671,1.1
2022,SE,Sergipe,state,Nordeste,28455.08,1.4552,0.26036,414.078324,1.1
2022,BA,Bahia,state,Nordeste,175016.2,0.6526,0.56235,1142.155721,1.1
2022,Sudeste,Sudeste,region,,982971.73,0.3502,0.30619,3442.366998,1.1
2022,MG,Minas Gerais,state,Sudeste,236207.98,0.3044,0.37339,719.017091,1.1
2022,ES,Espírito Santo,state,Sudeste,52078.44,0.6844,0.6153,356.424843,1.1
2022,RJ,Rio de Janeiro,state,Sudeste,181179.17,0.7193,0.46427,1303.22177,1.1
2022,SP,São Paulo,state,Sudeste,513506.15,0.2072,0.18815,1063.984743,1.1
2022,Sul,Sul,region,,360588.77,0.2121,0.22069,764.808781,1.1
2022,PR,Paraná,state,Sul,140950.65,0.1679,0.24594,236.656141,1.1
2022,SC,Santa Catarina,state,Sul,98534.7,0.2027,0.3072,199.729837,1.1
2022,RS,Rio Grande do Sul,state,Sul,121103.43,0.2712,0.12091,328.432502,1.1
2022,Centro-Oeste,Centro-Oeste,region,,225403.76,1.2053,0.45463,2716.791519,1.1
2022,MS,Mato Grosso do Sul,state,Centro-Oeste,40647.47,0.8253,0.35297,335.46357,1.1
2022,MT,Mato Grosso,state,Centro-Oeste,58451.88,1.7106,0.47711,999.877859,1.1
2022,GO,Goiás,state,Centro-Oeste,90330.88,1.4235,0.46814,1285.860077,1.1
2022,DF,DF,state,Centro-Oeste,35973.53,0.2655,0.49905,95.509722,1.1
2022,IGN,Ignorado,unknown,,107,0,,0.0,1.1
2023,BR,Brasil,country,,2548631.19,1.0496,0.43436,26750.43297,1.1
2023,Norte,Norte,region,,285815.23,3.7333,0.58193,10670.339982,1.1
